Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,category
TheCollegeFever,Brand Marketing,Early Stage,250000.0,Bangalore,2018,E-Commerce & Marketplace
Happy Cow Dairy,Agriculture,Early Stage,584000.0,Mumbai,2018,Food & Agriculture
MyLoanCare,Credit,Series A to Series H,949000.0,Gurgaon,2018,Finance $ Banking
PayMe India,Financial Services,Angel and Grants,2000000.0,Noida,2018,Consulting & Services
Eunimart,E-Commerce Platforms,Early Stage,0.0,Hyderabad,2018,E-Commerce & Marketplace
Hasura,Cloud Infrastructure,Early Stage,1600000.0,Bengaluru,2018,Other
Tripshelf,Internet,Early Stage,233600.0,Kalkaji,2018,Technology
Hyperdata.IO,Market Research,Angel and Grants,730000.0,Hyderabad,2018,E-Commerce & Marketplace
Freightwalla,Information Services,Early Stage,0.0,Mumbai,2018,Consulting & Services
Microchip Payments,Mobile Payments,Early Stage,0.0,Bangalore,2018,Other
BizCrum Infotech Pvt. Ltd.,B2B,Early Stage,0.0,Delhi,2018,Other
Emojifi,Internet,Early Stage,0.0,Bengaluru,2018,Technology
Flock,Apps,Early Stage,0.0,India,2018,Other
Freshboxx,Food Delivery,Early Stage,0.0,Hubli,2018,Food & Agriculture
Wide Mobility Mechatronics,Industrial Automation,Early Stage,0.0,Bangalore,2018,Autommotive $ Transportation
Pitstop,Automotive,Early Stage,1460000.0,Bengaluru,2018,Autommotive $ Transportation
Mihuru,Finance,Early Stage,150000.0,Mumbai,2018,Finance $ Banking
Fyle,Accounting,Early Stage,1100000.0,Bengaluru,2018,Finance $ Banking
AppWharf,Artificial Intelligence,Early Stage,0.0,New Delhi,2018,Other
Antariksh Waste Ventures Pvt ltd,Internet of Things,Early Stage,7300.0,Chennai,2018,Technology
Cogoport,Air Transportation,Series A to Series H,6000000.0,Mumbai,2018,Autommotive $ Transportation
PaisaDukan,Financial Services,Early Stage,650000.0,Mumbai,2018,Consulting & Services
Sleepy Owl Coffee,Food and Beverage,Early Stage,511000.0,New Delhi,2018,Food & Agriculture
BlueJack,Autonomous Vehicles,Early Stage,934400.0,Delhi,2018,Autommotive $ Transportation
PregBuddy,Enterprise Software,Early Stage,0.0,Bengaluru,2018,Technology
AgNext Technologies,Agriculture,Series A to Series H,0.0,Mohali,2018,Food & Agriculture
Pando,Logistics,Early Stage,2000000.0,Chennai,2018,Autommotive $ Transportation
Mintifi,Financial Services,Early Stage,2000000.0,Mumbai,2018,Consulting & Services
Carcrew,Automotive,Early Stage,2000000.0,Mumbai,2018,Autommotive $ Transportation
NicheAI,Artificial Intelligence,Angel and Grants,0.0,Hyderabad,2018,Other
Chariot Tech,Internet of Things,Early Stage,292000.0,New Delhi,2018,Technology
Ideal Insurance Brokers/ 121Policy.com,Insurance,Early Stage,1000000.0,Kolkata,2018,Finance $ Banking
Loanzen,Financial Services,Early Stage,0.0,Bangalore,2018,Consulting & Services
Mojro Technologies,Information Technology,Early Stage,650000.0,Bengaluru,2018,Technology
Elemential,Blockchain,Early Stage,1000000.0,Mumbai,2018,Other
Loadshare,Industrial Automation,Series A to Series H,5000000.0,Bengaluru,2018,Autommotive $ Transportation
Yumlane,Food and Beverage,Series A to Series H,4000000.0,Mumbai,2018,Food & Agriculture
Kriger Campus,Education,Early Stage,438000.0,New Delhi,2018,Other
Pipa+Bella,E-Commerce,Series A to Series H,1000000.0,Mumbai,2018,E-Commerce & Marketplace
Kaleidofin,Financial Services,Early Stage,2800000.0,Chennai,2018,Consulting & Services
Chakr Innovation,Renewable Energy,Early Stage,0.0,New Delhi,2018,Other
IndigoLearn,E-Learning,Early Stage,150000.0,Hyderabad,2018,Other
UClean,Clean Energy,Early Stage,584000.0,India,2018,Other
Coutloot,E-Commerce,Early Stage,1000000.0,Mumbai,2018,E-Commerce & Marketplace
Letstrack,Apps,Early Stage,1700000.0,New Delhi,2018,Other
Pooltoo,Transportation,Early Stage,0.0,New Delhi,2018,Autommotive $ Transportation
Finzy,Financial Services,Early Stage,1300000.0,Bangalore,2018,Consulting & Services
Fitternity,Fitness,Early Stage,2000000.0,Mumbai,2018,Other
Keito,Artificial Intelligence,Early Stage,0.0,Pune,2018,Other
Tolet for Students,Hospitality,Early Stage,73000.0,Jodhpur,2018,Other
Chai Kings,Food and Beverage,Early Stage,292000.0,Chennai,2018,Food & Agriculture
Dainik Jagran,Media and Entertainment,Early Stage,584000.0,Kanpur,2018,Other
Playtoome,Broadcasting,Early Stage,292000.0,Bengaluru,2018,Other
